"species_nr","code","wetnaam","nednaam","aangevuld"
"6094","CALA-SP","Calamagrostis species","Struisriet (G)","0"
"173","CALACAN","Calamagrostis canescens","Hennegras","0"
"174","CALAEPI","Calamagrostis epigejos","Duinriet","0"
"176","CALAPSE","Calamagrostis pseudophragmites","Rivierstruisriet","0"
"175","CALASTR","Calamagrostis stricta","Stijf struisriet","0"
"2476","CALAC*S","Calamagrostis canescens x stricta","Hennegras x Stijf struisriet","0"
"6027","CALM-SP","Calammophila (x-)","Noordse helm (G)","0"
"49","CALMBAL","Calammophila baltica","Noordse helm","0"
"6568","CALE-SP","Calendula species","Goudsbloem (G)","0"
"1671","CALEARV","Calendula arvensis","Akkergoudsbloem","0"
