species_nr,wetnaam,nednaam
570,Geranium dissectum,Slipbladige ooievaarsbek
571,Geranium molle,Zachte ooievaarsbek
572,Geranium phaeum,Donkere ooievaarsbek
573,Geranium pratense,Beemdooievaarsbek
574,Geranium pusillum,Kleine ooievaarsbek
575,Geranium pyrenaicum,Bermooievaarsbek
576,Geranium robertianum,Robertskruid
577,Geranium rotundifolium,Ronde ooievaarsbek
578,Geum rivale,Knikkend nagelkruid
579,Geum urbanum,Geel nagelkruid
580,Glaucium flavum,Gele hoornpapaver
581,Glaux maritima,Melkkruid
582,Glechoma hederacea,Hondsdraf
583,Glyceria declinata,Getand vlotgras
584,Glyceria fluitans,Mannagras
585,Glyceria maxima,Liesgras
586,Glyceria notata,Stomp vlotgras
587,Gnaphalium luteo-album,Bleekgele droogbloem
588,Gnaphalium sylvaticum,Bosdroogbloem
589,Gnaphalium uliginosum,Moerasdroogbloem
590,Goodyera repens,Dennenorchis
591,Gratiola officinalis,Genadekruid
593,Gymnadenia conopsea,Grote muggenorchis
595,Atriplex pedunculata,Gesteelde zoutmelde
596,Atriplex portulacoides,Gewone zoutmelde
597,Hammarbya paludosa,Veenmosorchis
598,Hedera helix,Klimop
601,Helianthus x laetiflorus,Stijve zonnebloem
603,Helictotrichon pratense,Beemdhaver
604,Helictotrichon pubescens,Zachte haver
606,Heracleum mantegazzianum,Reuzenberenklauw
607,Heracleum sphondylium,Gewone berenklauw
608,Herminium monorchis,Honingorchis
609,Herniaria glabra,Kaal breukkruid
611,Hieracium aurantiacum,Oranje havikskruid
612,Hieracium lactucella,Spits havikskruid
615,Hieracium caespitosum,Weidehavikskruid
618,Hieracium laevigatum,Stijf havikskruid
621,Hieracium pilosella,Muizenoor
624,Hieracium sabaudum,Boshavikskruid
625,Hieracium umbellatum,Schermhavikskruid
626,Hierochloe odorata,Veenreukgras
628,Hippocrepis comosa,Paardenhoefklaver
629,Hippophae rhamnoides,Duindoorn
630,Hippuris vulgaris,Lidsteng
631,Holcus lanatus,Gestreepte witbol
632,Holcus mollis,Gladde witbol
633,Holosteum umbellatum,Heelbeen
634,Honckenya peploides,Zeepostelein
635,Hordeum marinum,Zeegerst
636,Hordeum murinum,Kruipertje
637,Hordeum secalinum,Veldgerst
638,Hottonia palustris,Waterviolier
639,Humulus lupulus,Hop
640,Hydrocharis morsus-ranae,Kikkerbeet
641,Hydrocotyle vulgaris,Gewone waternavel
642,Hyoscyamus niger,Bilzekruid
643,Hypericum canadense,Canadees hertshooi
644,Hypericum elodes,Moerashertshooi
645,Hypericum hirsutum,Ruig hertshooi
646,Hypericum humifusum,Liggend hertshooi
647,Hypericum dubium,Kantig hertshooi
648,Hypericum montanum,Berghertshooi
649,Hypericum perforatum,Sint-Janskruid
650,Hypericum pulchrum,Fraai hertshooi
651,Hypericum tetrapterum,Gevleugeld hertshooi
652,Hypochaeris glabra,Glad biggenkruid
654,Hypochaeris radicata,Gewoon biggenkruid
657,Iberis amara,Bittere scheefbloem
